"Team","Model","Authors","Methods","Website","Metadata"
"Grzegorz Redlarski","PL_GRedlarski-DistrictsSum","Grzegorz Redlarski","Modified SIR method, applied to all districts. Forecasts for districts are summed up.","https://docs.google.com/spreadsheets/d/e/2PACX-1vRpH4yhKRts7Co5tydhZhojIPTcTTybms1PqJ9j1tmSBzzPLoU2U9XjUWDwiKYxnE6gMLayl71rpGC8/pubhtml?gid=493251550&single=true","https://raw.githubusercontent.com/epiforecasts/covid19-forecast-hub-europe/main/model-metadata/PL_GRedlarski-DistrictsSum.yml"
"prolix","prolix-euclidean","Loïc Pottier","Offsets obtained by correlations, best linear approximation of reproduction rates (using vaccination  approximation) by least euclidean distance, and linear prediction.","https://cp.lpmib.fr/medias/covid19/_synthese.html","https://raw.githubusercontent.com/epiforecasts/covid19-forecast-hub-europe/main/model-metadata/prolix-euclidean.yml"
"Robert Walraven","RobertWalraven-ESG","Robert Walraven","Multiple skewed gaussian distribution peaks fit to raw data","http://rwalraven.com/COVID19","https://raw.githubusercontent.com/epiforecasts/covid19-forecast-hub-europe/main/model-metadata/RobertWalraven-ESG.yml"
"Swiss Data Science Center / University of Geneva","SDSC_ISG-TrendModel","Ekaterina Krymova, Dorina Thanou, Benjamin Bejar Haro, Tao Sun, Gavin Lee, Elisa Manetti, Christine Choirat, Antoine Flahault, Guillaume Obozinski","The Trend Model predicts daily cases and deaths using linear extrapolation on the linear or log scale of the underlying trend estimated by a robust LOESS seasonal-trend decomposition model.","https://renkulab.shinyapps.io/COVID-19-Epidemic-Forecasting/","https://raw.githubusercontent.com/epiforecasts/covid19-forecast-hub-europe/main/model-metadata/SDSC_ISG-TrendModel.yml"
"Statgroup19","Statgroup19-richards","Pierfrancesco Alaimo Di Loro, Fabio Divino, Alessio Farcomeni, Giovanna Jona Lasinio, Antonello Maruotti, Marco Mingione, Gianfranco Lovison","Richards' curve based generalized growth model","https://statgroup19.shinyapps.io/Covid19App/","https://raw.githubusercontent.com/epiforecasts/covid19-forecast-hub-europe/main/model-metadata/Statgroup19-richards.yml"
"Statgroup19","Statgroup19-spatialrichards","Pierfrancesco Alaimo Di Loro, Fabio Divino, Alessio Farcomeni, Giovanna Jona Lasinio, Antonello Maruotti, Marco Mingione, Gianfranco Lovison","Richards' curve based generalized growth model taking into account spatial dependence","https://statgroup19.shinyapps.io/Covid19App/","https://raw.githubusercontent.com/epiforecasts/covid19-forecast-hub-europe/main/model-metadata/Statgroup19-spatialrichards.yml"
"Universidad Carlos III de Madrid","UC3M-EpiGraph","David E. Singh, Miguel Guzman Merino, Maria Cristina Marinescu, Jesus Carretero, Alberto Cascajo Garcia","Agent-based parallel simulator that models individual interactions extracted from social networks and demographical data.","https://www.arcos.inf.uc3m.es/epigraph/","https://raw.githubusercontent.com/epiforecasts/covid19-forecast-hub-europe/main/model-metadata/UC3M-EpiGraph.yml"
"University of Ljubljana, Faculty of Health Sciences Team","ULZF-SEIRC19SI","Janez Zibert","SEIHR model extended with compartments for hospitals, intensive care units, asymptomatic cases, separate submodels for vaccinated and unvaccinated, divided to 5 age subgroups of population","https://apps.lusy.fri.uni-lj.si","https://raw.githubusercontent.com/epiforecasts/covid19-forecast-hub-europe/main/model-metadata/ULZF-SEIRC19SI.yml"
"UMass-Amherst","UMass-MechBayes","Dan Sheldon, Graham Gibson, Nick Reich","Bayesian compartmental model with observations on cumulative case counts and cumulative deaths. Model is fit independently to each state. Model includes observation noise and a case detection rate. ","https://github.com/dsheldon/covid","https://raw.githubusercontent.com/epiforecasts/covid19-forecast-hub-europe/main/model-metadata/UMass-MechBayes.yml"
"UNED","UNED-PreCoV2","José L. Aznarte, César Pérez, José Almagro, Pedro Álvarez, Álvaro Ortiz, Fernando Blat","Bayesian time series models with ARIMA noise and fixed transfer functions for each input.","https://precov2.org","https://raw.githubusercontent.com/epiforecasts/covid19-forecast-hub-europe/main/model-metadata/UNED-PreCoV2.yml"
"University of Perugia / University of Milano-Bicocca / Università della Svizzera Italiana","UpgUmibUsi-MultiBayes","Francesco Bartolucci, Fulvia Pennoni, Antonietta Mira","Bayesian Dirichlet-Multinomial models for counts of patients in mutually exclusive and exhaustive categories such as hospitalized in regular wards and in intensive care units, deceased and recovered","https://github.com/francescobartolucci/ARMultinomial","https://raw.githubusercontent.com/epiforecasts/covid19-forecast-hub-europe/main/model-metadata/UpgUmibUsi-MultiBayes.yml"
"University of Southern California","USC-SIkJalpha","Ajitesh Srivastava, Frost Tianjian Xu","A heterogeneous infection rate model with human mobility for epidemic modeling. Our model adapts to changing trends and provide predictions of confirmed cases and deaths.","https://scc-usc.github.io/ReCOVER-COVID-19","https://raw.githubusercontent.com/epiforecasts/covid19-forecast-hub-europe/main/model-metadata/USC-SIkJalpha.yml"
"University of Virginia, Biocomplexity COVID-19 Response Team","UVA-Ensemble","Aniruddha Adiga, Lijing Wang, Srinivasan Venkatramanan, Akhil Sai Peddireddy, Benjamin Hurt, Przemyslaw Porebski, Bryan Lewis, Madhav Marathe, Jiangzhou Chen, Anil Vullikanti","An ensemble of multiple methods such as auto-regressive (AR)models with exogenous variables, Long short-term memory (lSTM) models,Kalman filter and PatchSim (an SEIR model).","https://biocomplexity.virginia.edu/","https://raw.githubusercontent.com/epiforecasts/covid19-forecast-hub-europe/main/model-metadata/UVA-Ensemble.yml"
